Year,FIPS,County Name,Total Burn Area
1992,6001,Alameda County,1055.1
1992,6003,Alpine County,143.2
1992,6005,Amador County,710.4
1992,6007,Butte County,18520.7
1992,6009,Calaveras County,21321.6
1992,6011,Colusa County,2791.4
1992,6013,Contra Costa County,651.1
1992,6015,Del Norte County,13.4
1992,6017,El Dorado County,26093.7
1992,6019,Fresno County,3630.1
1992,6021,Glenn County,851.9
1992,6023,Humboldt County,3195.6
1992,6025,Imperial County,1985.6
1992,6027,Inyo County,2219.9
1992,6029,Kern County,11028.5
1992,6031,Kings County,508.8
1992,6033,Lake County,2838.2
1992,6035,Lassen County,3615.4
1992,6037,Los Angeles County,1874.5
1992,6039,Madera County,12916.3
1992,6041,Marin County,81.6
1992,6043,Mariposa County,3283.7
1992,6045,Mendocino County,1158.1
1992,6047,Merced County,12992
1992,6049,Modoc County,3240.1
1992,6051,Mono County,36
1992,6053,Monterey County,12444.7
1992,6055,Napa County,1430.7
1992,6057,Nevada County,309
1992,6059,Orange County,20.7
1992,6061,Placer County,2806.3
1992,6063,Plumas County,130.3
1992,6065,Riverside County,17957.1
1992,6067,Sacramento County,978.7
1992,6069,San Benito County,243
1992,6071,San Bernardino County,6886.5
1992,6073,San Diego County,7486.8
1992,6075,San Francisco County,0.1
1992,6077,San Joaquin County,825
1992,6079,San Luis Obispo County,1771.9
1992,6081,San Mateo County,26.9
1992,6083,Santa Barbara County,1542.2
1992,6085,Santa Clara County,282.2
1992,6087,Santa Cruz County,61.7
1992,6089,Shasta County,66275.5
1992,6091,Sierra County,43.1
1992,6093,Siskiyou County,3141.5
1992,6095,Solano County,460.8
1992,6097,Sonoma County,675
1992,6099,Stanislaus County,2338.1
1992,6101,Sutter County,120
1992,6103,Tehama County,4626.1
1992,6105,Trinity County,5419.8
1992,6107,Tulare County,5477.6
1992,6109,Tuolumne County,12521.1
1992,6111,Ventura County,247.4
1992,6113,Yolo County,898.8
1992,6115,Yuba County,562.9
1993,6001,Alameda County,1500.8
1993,6003,Alpine County,2.9
1993,6005,Amador County,435.4
1993,6007,Butte County,1782.4
1993,6009,Calaveras County,501.3
1993,6011,Colusa County,179.7
1993,6013,Contra Costa County,346.4
1993,6015,Del Norte County,25.7
1993,6017,El Dorado County,411.3
1993,6019,Fresno County,9863.9
1993,6021,Glenn County,206.2
1993,6023,Humboldt County,646.3
1993,6025,Imperial County,769.2
1993,6027,Inyo County,28.9
1993,6029,Kern County,40366.7
1993,6031,Kings County,1540.1
1993,6033,Lake County,404.7
1993,6035,Lassen County,1389.6
1993,6037,Los Angeles County,6903.4
1993,6039,Madera County,3023.1
1993,6041,Marin County,58.1
1993,6043,Mariposa County,535.8
1993,6045,Mendocino County,456.9
1993,6047,Merced County,7813.1
1993,6049,Modoc County,22
1993,6051,Mono County,419
1993,6053,Monterey County,8555.6
1993,6055,Napa County,124.1
1993,6057,Nevada County,80.2
1993,6059,Orange County,0.7
1993,6061,Placer County,434.5
1993,6063,Plumas County,204.9
1993,6065,Riverside County,47386.3
1993,6067,Sacramento County,153.4
1993,6069,San Benito County,1365.6
1993,6071,San Bernardino County,22616.3
1993,6073,San Diego County,61267.4
1993,6075,San Francisco County,0.2
1993,6077,San Joaquin County,625.8
1993,6079,San Luis Obispo County,1608.4
1993,6081,San Mateo County,469.8
1993,6083,Santa Barbara County,43275.5
1993,6085,Santa Clara County,286.7
1993,6087,Santa Cruz County,31
1993,6089,Shasta County,1318.2
1993,6091,Sierra County,6.7
1993,6093,Siskiyou County,82
1993,6095,Solano County,176
1993,6097,Sonoma County,1438.2
1993,6099,Stanislaus County,1348.9
1993,6103,Tehama County,1561.6
1993,6105,Trinity County,160.4
1993,6107,Tulare County,8099.2
1993,6109,Tuolumne County,241
1993,6111,Ventura County,39833
1993,6113,Yolo County,280.8
1993,6115,Yuba County,857.6
1994,6001,Alameda County,313.1
1994,6003,Alpine County,88.5
1994,6005,Amador County,183
1994,6007,Butte County,4966.8
1994,6009,Calaveras County,3198.9
1994,6011,Colusa County,327.1
1994,6013,Contra Costa County,584.1
1994,6015,Del Norte County,533.9
1994,6017,El Dorado County,2202.8
1994,6019,Fresno County,10276.7
1994,6021,Glenn County,51.2
1994,6023,Humboldt County,749.5
1994,6025,Imperial County,368.5
1994,6027,Inyo County,1154.8
1994,6029,Kern County,26433.2
1994,6031,Kings County,1150.4
1994,6033,Lake County,91.2
1994,6035,Lassen County,16724.8
1994,6037,Los Angeles County,6116.7
1994,6039,Madera County,2551.8
1994,6041,Marin County,71
1994,6043,Mariposa County,5097.6
1994,6045,Mendocino County,981.4
1994,6047,Merced County,1849.7
1994,6049,Modoc County,5184.4
1994,6051,Mono County,297.8
1994,6053,Monterey County,2710.4
1994,6055,Napa County,38.2
1994,6057,Nevada County,2482.6
1994,6059,Orange County,2332.8
1994,6061,Placer County,597.9
1994,6063,Plumas County,279.5
1994,6065,Riverside County,43301.4
1994,6067,Sacramento County,3114.1
1994,6069,San Benito County,1454.7
1994,6071,San Bernardino County,31053.9
1994,6073,San Diego County,12522.8
1994,6075,San Francisco County,1.2
1994,6077,San Joaquin County,1335.6
1994,6079,San Luis Obispo County,59689.7
1994,6081,San Mateo County,41.1
1994,6083,Santa Barbara County,5876.2
1994,6085,Santa Clara County,313
1994,6087,Santa Cruz County,18.7
1994,6089,Shasta County,3361.7
1994,6091,Sierra County,54127.9
1994,6093,Siskiyou County,41295
1994,6095,Solano County,247.5
1994,6097,Sonoma County,1072.6
1994,6099,Stanislaus County,1004.5
1994,6101,Sutter County,25
1994,6103,Tehama County,49446.6
1994,6105,Trinity County,4582.9
1994,6107,Tulare County,2614.8
1994,6109,Tuolumne County,2599.2
1994,6111,Ventura County,54.5
1994,6113,Yolo County,142.7
1994,6115,Yuba County,298.5
1995,6001,Alameda County,1068.8
